Cloudiness,Country,Humidity,Latitude,Longitude,Max_Temp,Temperature (F),Wind Speed
92,PT,97,40.36,-7.35,50.25,50.25,15.9
92,RU,83,52.81,37.24,7.59,7.59,19.82
0,DE,86,53.49,13.1,2.96,2.96,10.2
92,RU,98,65.58,-170.99,21.0,21.0,40.4
20,NO,60,78.22,15.63,10.4,10.4,5.82
24,IN,53,27.93,96.16,68.03,68.03,1.7
20,MU,74,-20.01,57.66,84.2,84.2,11.41
92,PT,98,41.42,-6.55,49.67,49.67,15.46
20,CI,94,5.32,-4.02,78.8,78.8,3.36
88,RU,86,67.68,53.15,20.69,20.69,18.25
0,SE,83,63.18,14.64,-14.81,-14.81,3.36
75,BR,93,-25.67,-48.51,66.2,66.2,5.82
20,AR,89,-31.4,-58.02,70.64,70.64,0.58
92,CN,100,29.72,112.52,57.9,57.9,14.23
0,PE,86,-5.56,-80.82,72.08,72.08,12.21
12,RU,59,57.31,88.17,1.79,1.79,6.73
80,RU,85,68.05,39.51,24.11,24.11,10.65
90,US,81,37.46,-122.43,53.6,52.61,9.17
92,IS,100,63.44,-20.27,37.97,37.97,6.73
92,NZ,100,-45.41,167.72,61.05,61.05,2.71
75,PT,93,41.53,-8.62,55.4,55.4,18.34
0,AU,41,-35.36,150.48,75.2,75.2,13.87
20,LA,58,19.89,102.14,84.2,84.2,2.24
1,US,83,64.84,-147.72,-13.01,-14.82,3.04
68,RU,86,65.85,74.49,2.24,2.24,26.08
0,IN,28,19.91,73.23,96.47,96.47,4.38
24,ID,100,-3.54,118.97,83.1,83.1,11.77
75,EC,81,-0.39,-78.55,53.6,53.6,3.36
75,CV,68,15.13,-23.22,69.8,69.8,6.93
90,US,100,33.14,-95.6,66.2,62.98,8.05
24,CN,65,24.81,113.59,76.67,76.67,4.72
100,BR,91,-8.28,-70.75,74.73,74.73,3.15
80,BR,98,-6.21,-40.7,67.26,67.26,2.71
40,LK,62,7.49,80.36,86.0,86.0,4.7
0,MM,48,19.67,97.21,80.27,80.27,1.92
92,BR,100,-29.34,-49.73,71.54,71.54,3.71
92,CL,98,-41.87,-73.83,58.44,58.44,2.15
20,MU,74,-19.98,57.61,84.2,84.2,11.41
76,TL,85,-8.93,125.41,78.15,78.15,1.92
12,MX,89,19.93,-105.25,64.65,64.65,1.36
75,JP,75,36.66,137.31,46.4,46.4,13.87
8,GW,61,12.07,-16.03,71.63,71.63,12.77
32,KZ,86,43.52,68.5,39.68,39.68,2.59
64,RU,65,62.93,152.39,-4.97,-4.97,2.82
75,SE,85,57.79,14.13,12.2,12.2,12.75
36,MX,54,27.52,-110.01,52.68,52.68,4.72
44,RU,66,51.5,44.48,-0.47,-0.47,13.22
20,GA,88,-0.72,8.78,78.8,78.8,2.24
56,CA,73,48.76,-91.62,21.0,21.0,3.94
88,RU,76,69.7,170.27,11.51,11.51,7.18
76,IN,71,30.78,78.62,55.11,55.11,1.92
90,US,100,33.95,-84.55,64.4,57.04,3.36
100,GL,100,64.17,-51.74,42.8,42.8,13.87
0,TD,35,13.3,19.7,67.35,67.35,4.61
40,CG,88,-4.35,14.75,73.4,73.4,2.24
1,US,48,59.64,-151.54,23.0,21.31,5.82
88,BR,91,-5.2,-35.46,78.92,78.92,8.41
0,NO,61,61.99,5.14,15.8,11.14,5.82
40,BB,94,13.25,-59.65,71.6,71.6,9.17
40,GR,79,40.27,21.32,23.0,23.0,6.93
76,JP,79,37.29,138.8,45.44,45.44,19.26
24,OM,35,22.93,57.53,78.06,78.06,3.15
40,US,72,60.79,-161.76,10.4,10.4,9.17
92,PG,100,-6.22,155.63,79.37,79.37,3.71
88,RU,86,46.17,45.34,28.07,28.07,19.26
76,BS,100,26.54,-77.06,73.07,73.07,7.74
56,MZ,100,-16.92,35.26,77.7,77.7,3.94
76,BW,86,-21.53,21.93,68.34,68.34,6.06
75,SE,73,56.66,16.36,21.2,21.2,14.99
8,ZA,68,-30.55,29.42,64.79,64.79,1.81
0,SO,67,4.12,43.89,76.44,76.44,13.33
0,IN,68,22.03,88.06,87.11,87.11,4.61
40,CY,87,34.92,32.53,55.4,54.23,5.82
0,CV,100,14.9,-24.5,68.03,68.03,9.75
0,BR,88,-3.13,-59.98,78.8,76.96,4.7
90,US,86,44.55,-70.55,37.4,34.79,3.36
0,AE,53,24.47,54.37,73.4,73.4,3.36
75,CA,92,49.78,-74.86,10.4,10.4,4.7
36,BR,90,-18.92,-54.84,69.74,69.74,2.59
12,NP,62,29.28,82.18,43.73,43.73,0.81
92,CN,100,30.13,111.78,52.14,52.14,13.89
100,NZ,100,-46.28,169.85,64.11,64.11,4.16
1,US,42,36.21,-115.98,48.2,43.05,9.17
80,RU,70,70.62,147.9,-10.14,-10.14,3.49
48,BR,93,-3.2,-52.21,74.69,74.69,2.93
20,SO,74,5.35,48.53,80.49,80.49,13.44
0,MM,49,22.93,97.75,78.56,78.56,2.71
0,TC,100,21.46,-71.14,74.46,74.46,11.1
92,BR,100,-21.64,-41.05,77.03,77.03,10.65
0,IN,30,17.82,76.28,88.19,88.19,9.42
0,CA,90,43.74,-81.71,30.14,30.14,9.64
90,US,100,36.3,-76.22,57.2,55.58,3.36
75,RU,92,69.19,33.23,21.2,21.2,2.24
0,PE,83,-13.71,-76.2,69.8,69.8,11.41
44,MG,79,-20.3,44.28,86.88,86.88,3.94
5,MX,82,21.5,-104.89,59.0,59.0,1.7
0,ID,64,3.82,117.25,89.27,89.27,2.82
20,RU,56,61.94,76.66,-11.49,-11.49,5.5
44,MX,21,28.39,-105.62,52.28,52.28,7.74
32,RU,48,57.84,108.35,5.34,5.34,3.6
88,RU,75,46.45,135.83,28.11,28.11,2.93
0,IN,97,11.67,92.75,85.31,85.31,5.06
90,IS,93,64.54,-21.92,37.4,37.4,4.7
0,AU,15,-25.24,130.99,98.6,98.6,11.41
40,US,100,35.92,-94.97,57.2,56.16,7.96
0,ZA,64,-26.96,24.73,70.37,70.37,8.19
20,KM,66,-11.38,43.28,84.2,84.2,3.04
0,MN,65,49.98,92.07,28.83,28.83,4.05
44,CD,95,2.77,27.62,69.6,69.6,2.93
48,PG,93,-3.66,152.44,85.67,85.67,6.62
0,CR,60,9.52,-84.33,68.0,68.0,13.87
0,KZ,76,53.17,63.58,-5.81,-5.81,11.18
8,BR,92,-14.4,-56.44,72.84,72.84,2.37
68,BA,78,44.14,17.4,2.87,2.87,2.04
68,RU,69,69.41,86.18,-10.14,-10.14,31.79
8,ET,84,8.91,38.62,59.88,59.88,3.15
36,BR,73,-7.63,-72.67,79.68,79.68,3.94
92,ZM,99,-11.84,31.4,63.89,63.89,8.19
20,MX,52,23.99,-104.67,47.69,47.69,5.73
20,CI,94,5.21,-4.42,78.8,78.8,3.36
75,TZ,78,-3.3,36.45,71.6,71.6,11.41
20,BR,92,-9.87,-56.08,74.42,74.42,2.04
64,DZ,78,36.1,0.42,47.91,47.91,2.59
88,CA,86,49.49,-117.29,22.49,22.49,1.92
0,ZA,75,-28.77,32.06,74.91,74.91,7.52
92,RU,83,53.89,86.74,15.29,15.29,8.63
20,IN,72,25.52,90.21,74.87,74.87,5.17
48,RU,75,53.79,39.25,0.08,0.08,13.44
40,IR,68,31.03,61.49,64.4,64.4,16.11
5,MX,88,20.71,-105.21,68.0,68.0,6.93
88,RU,71,60.87,60.43,11.19,11.19,9.75
88,NO,86,69.01,23.04,23.12,23.12,6.96
0,RU,76,55.75,38.0,3.2,0.07,8.95
48,GL,72,69.22,-51.1,10.4,10.4,4.7
80,NZ,95,-46.13,167.69,63.62,63.62,7.29
92,EC,97,0.07,-80.05,72.62,72.62,4.16
0,FR,70,44.74,1.38,44.6,44.6,11.41
0,NO,64,63.87,11.3,-2.21,-3.16,4.7
0,AU,26,-34.85,139.16,84.2,84.2,10.29
90,FR,93,44.83,-0.61,44.6,42.6,13.87
12,PH,95,12.18,125.51,81.98,81.98,7.4
92,PY,98,-26.98,-56.83,70.01,70.01,2.71
0,RU,74,54.98,60.37,0.17,0.17,10.98
44,RU,57,65.73,150.89,-6.09,-6.09,3.15
44,RU,77,66.56,67.8,9.26,9.26,15.46
64,BR,100,-8.9,-35.15,75.14,75.14,2.82
20,US,69,20.89,-156.47,73.4,71.35,9.17
12,VU,100,-19.55,169.27,82.2,82.2,8.63
0,CN,51,32.43,105.86,65.78,65.78,4.27
